kuwait-rest-kfc-1980.jpg	KFC restaurant Kuwait City, 1980.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/KFC_restaurant_Kuwait_City%2C_1980.jpg/960px-KFC_restaurant_Kuwait_City%2C_1980.jpg
kuwait-rest-mcdonalds.jpg	Mcdonald's.jpg	https://upload.wikimedia.org/wikipedia/commons/e/ee/Mcdonald%27s.jpg
kuwait-rest-chilis.jpg	Chilis Kuwait.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Chilis_Kuwait.jpg/960px-Chilis_Kuwait.jpg
kuwait-rest-hardeez.jpg	Hardeez Kuwait.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Hardeez_Kuwait.jpg/960px-Hardeez_Kuwait.jpg
kuwait-rest-burger-king.jpg	Burgerking1.jpg	https://upload.wikimedia.org/wikipedia/commons/1/1e/Burgerking1.jpg
kuwait-rest-shrimpy.jpg	Shrimpy in Jabriya.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Shrimpy_in_Jabriya.jpg/960px-Shrimpy_in_Jabriya.jpg
kuwait-rest-mughal-mahal.jpg	Mughal mahal.jpg	https://upload.wikimedia.org/wikipedia/commons/2/28/Mughal_mahal.jpg
kuwait-rest-hard-rock.jpg	Hrc-kuwait.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Hrc-kuwait.jpg/960px-Hrc-kuwait.jpg
kuwait-rest-chocolate-bar.jpg	The Chocolate Bar - Yum!.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/The_Chocolate_Bar_-_Yum%21.jpg/960px-The_Chocolate_Bar_-_Yum%21.jpg
kuwait-rest-shamam-oven.jpg	Al Shamam Restaurant Oven in Mubarakiya.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Al_Shamam_Restaurant_Oven_in_Mubarakiya.jpg/960px-Al_Shamam_Restaurant_Oven_in_Mubarakiya.jpg
kuwait-rest-mubarakiya-cafes.jpg	Traditional cafes in Mubarakiya.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Traditional_cafes_in_Mubarakiya.jpg/960px-Traditional_cafes_in_Mubarakiya.jpg
kuwait-rest-fish-market.jpg	Mercado del pescado, ciudad de Kuwait, Kuwait, 2024-08-12, DD 30.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Mercado_del_pescado%2C_ciudad_de_Kuwait%2C_Kuwait%2C_2024-08-12%2C_DD_30.jpg/960px-Mercado_del_pescado%2C_ciudad_de_Kuwait%2C_Kuwait%2C_2024-08-12%2C_DD_30.jpg
kuwait-rest-kiwi-kabab.jpg	Kiwi 1.jpg	https://upload.wikimedia.org/wikipedia/commons/8/8d/Kiwi_1.jpg
kuwait-rest-pizza-hut-1982.jpg	Kuwait 1982-0108.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Kuwait_1982-0108.jpg/960px-Kuwait_1982-0108.jpg
